ip4_prefix,number
104.20.186.0,46
104.28.132.0,40
104.25.190.0,40
65.22.39.0,23
130.211.18.0,30
35.190.123.0,25
104.17.20.0,44
65.22.143.0,24
104.27.96.0,42
172.64.39.0,12
104.20.15.0,40
104.28.97.0,42
104.17.243.0,45
104.25.146.0,40
199.254.59.0,4
192.229.219.0,8
107.154.195.0,4
104.20.74.0,42
185.58.213.0,6
207.245.225.0,4
104.29.41.0,38
104.16.187.0,46
104.23.196.0,45
67.217.95.0,5
104.16.129.0,45
104.20.96.0,47
185.113.231.0,7
192.188.22.0,4
104.23.127.0,46
151.101.153.0,13
185.21.168.0,7
104.16.56.0,40
104.17.201.0,42
93.93.102.0,4
104.17.92.0,46
192.82.134.0,8
74.125.70.0,3
104.20.156.0,45
104.25.186.0,42
104.17.18.0,42
104.24.146.0,42
35.190.38.0,26
104.16.146.0,43
104.24.201.0,40
52.84.150.0,12
199.249.121.0,12
104.20.0.0,42
104.16.226.0,45
13.107.22.0,13
104.28.233.0,42
104.19.65.0,43
104.18.51.0,38
198.32.11.0,3
167.160.67.0,5
104.27.95.0,44
104.16.224.0,45
172.106.23.0,4
172.64.107.0,43
104.17.47.0,40
65.22.37.0,4
104.19.138.0,40
104.17.234.0,42
35.190.69.0,26
66.114.55.0,20
69.28.143.0,22
23.211.61.0,10
104.17.212.0,43
172.11.19.0,2
104.31.161.0,40
67.228.253.0,12
167.89.76.0,3
104.20.106.0,44
204.74.113.0,13
104.18.33.0,38
69.36.157.0,4
35.190.31.0,26
107.154.144.0,4
104.16.99.0,43
104.17.141.0,42
70.40.1.0,9
104.25.220.0,42
205.251.198.0,9
104.25.125.0,42
163.10.203.0,2
209.197.128.0,3
35.190.113.0,29
162.88.57.0,7
65.22.169.0,3
156.154.128.0,10
69.169.224.0,2
199.254.53.0,3
104.28.165.0,43
185.58.214.0,5
185.26.155.0,9
65.22.181.0,4
104.20.17.0,44
173.194.104.0,10
172.64.166.0,40
35.186.239.0,26
107.154.110.0,3
151.101.199.0,13
104.23.102.0,46
207.223.162.0,10
131.253.21.0,30
104.31.17.0,45
104.27.107.0,45
65.22.95.0,22
104.31.89.0,40
199.253.58.0,6
104.16.209.0,46
104.20.176.0,46
104.25.235.0,40
173.194.227.0,10
104.18.39.0,38
193.110.181.0,2
194.29.83.0,8
172.64.46.0,12
104.17.68.0,43
104.25.199.0,42
104.31.70.0,40
104.20.22.0,45
72.42.116.0,25
35.186.200.0,28
172.64.6.0,16
104.18.7.0,40
104.20.40.0,40
151.101.171.0,13
69.172.219.0,3
130.211.40.0,26
172.64.135.0,40
65.22.115.0,23
204.70.57.0,4
200.144.189.0,2
104.28.31.0,40
174.35.49.0,20
185.21.170.0,6
104.31.21.0,44
65.22.153.0,4
198.175.15.0,2
69.168.229.0,8
104.17.198.0,45
5.149.129.0,4
104.17.230.0,44
104.16.202.0,44
200.0.183.0,2
104.24.120.0,42
151.101.167.0,2
152.195.39.0,6
152.195.8.0,6
104.28.69.0,43
104.27.204.0,39
104.20.199.0,44
185.39.210.0,5
199.253.57.0,3
5.45.213.0,10
104.25.155.0,42
162.159.24.0,46
104.23.201.0,45
156.154.153.0,6
172.64.173.0,40
104.31.189.0,39
162.88.42.0,6
104.25.27.0,40
104.17.190.0,42
104.24.194.0,40
220.243.223.0,3
104.19.102.0,44
193.42.215.0,5
104.27.103.0,44
172.64.140.0,43
104.16.14.0,44
143.107.55.0,2
194.50.113.0,3
180.76.8.0,3
151.101.149.0,2
35.190.39.0,29
104.28.16.0,40
104.20.207.0,44
198.21.5.0,3
162.159.212.0,38
